timings,meeting_link,,day
11:20,eied13,,Thursday
13:00,eied3,,Thursday
13:50,eied12,,Thursday
08:50,eied18,,Thursday
15:30,eied12,,Thursday
,,,
08:50,eied12,,Friday
13:00,eied3,,Friday
,,,
08:50,eied5,,Monday
11:20,eied12,,Monday
13:50,eied7,,Monday
,,,
09:40,eied8,,Tuesday
11:20,eied11,,Tuesday
13:50,eied14,,Tuesday
15:30,eied2,,Tuesday
16:20,eied3,,Tuesday
,,,
08:50,eied8,,Wednesday
09:40,eied12,,Wednesday
10:30,eied12,,Wednesday
11:20,eied12,,Wednesday
13:00,eied3,,Wednesday
13:50,eied13,,Wednesday
